2026-05-29 20:06:49,391 - main - INFO - === Logging system initialized ===
2026-05-29 20:06:49,391 - main - INFO - Log file: logs/app_20260529_200649.log
2026-05-29 20:06:49,391 - main - INFO - Log level: INFO
2026-05-29 20:06:49,391 - main - INFO - Timestamp: 20260529_200649
2026-05-29 20:06:57,066 - main - INFO - Included router: routers.aihub.router
2026-05-29 20:06:57,400 - main - INFO - Included router: routers.auth.router
2026-05-29 20:06:57,434 - main - INFO - Included router: routers.health.router
2026-05-29 20:06:57,530 - main - INFO - Included router: routers.settings.router
2026-05-29 20:06:57,819 - main - INFO - Included router: routers.storage.router
2026-05-29 20:06:57,890 - main - INFO - Included router: routers.user.router
2026-05-29 20:06:59,869 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_200659.log')}
2026-05-29 20:07:00,220 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:00,573 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:00,925 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:01,326 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200659.log')}
2026-05-29 20:07:01,677 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200659.log')}
2026-05-29 20:07:02,028 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:02,379 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:02,730 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:03,081 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:03,432 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:03,783 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:04,134 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:04,485 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:04,836 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
2026-05-29 20:07:05,190 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_200649.log')}
